"","Year","County","Per Capita Cost"
"1",2007,"Anderson",10750.36
"2",2007,"Andrews",10365.06
"3",2007,"Angelina",10695.55
"4",2007,"Aransas",9321.86
"5",2007,"Archer",11752.39
"6",2007,"Armstrong",8625
"7",2007,"Atascosa",10521.43
"8",2007,"Austin",10255.93
"9",2007,"Bailey",11328.89
"10",2007,"Bandera",8404.27
"11",2007,"Bastrop",10331.24
"12",2007,"Baylor",12531.98
"13",2007,"Bee",13155.79
"14",2007,"Bell",9687.13
"15",2007,"Bexar",9954.28
"16",2007,"Blanco",8892.31
"17",2007,"Borden",9047
"18",2007,"Bosque",8173.43
"19",2007,"Bowie",10791.44
"20",2007,"Brazoria",12178.56
"21",2007,"Brazos",10500.38
"22",2007,"Brewster",6536.67
"23",2007,"Briscoe",10949.63
"24",2007,"Brooks",13747.96
"25",2007,"Brown",10451.11
"26",2007,"Burleson",10821.31
"27",2007,"Burnet",9897.7
"28",2007,"Caldwell",11921.86
"29",2007,"Calhoun",11328.58
"30",2007,"Callahan",10260.95
"31",2007,"Cameron",11822.73
"32",2007,"Camp",10481.28
"33",2007,"Carson",9616.72
"34",2007,"Cass",10861.48
"35",2007,"Castro",11491.72
"36",2007,"Chambers",12678.88
"37",2007,"Cherokee",11046.55
"38",2007,"Childress",9873.59
"39",2007,"Clay",11882.81
"40",2007,"Cochran",9724.7
"41",2007,"Coke",9548.68
"42",2007,"Coleman",10202
"43",2007,"Collin",10937.07
"44",2007,"Collingsworth",14841.25
"45",2007,"Colorado",11965.12
"46",2007,"Comal",9306.85
"47",2007,"Comanche",9843.87
"48",2007,"Concho",11883.08
"49",2007,"Cooke",10917.2
"50",2007,"Coryell",9692.45
"51",2007,"Cottle",11461.11
"52",2007,"Crane",13239.27
"53",2007,"Crockett",10418.97
"54",2007,"Crosby",11587.01
"55",2007,"Culberson",13331.9
"56",2007,"Dallam",9705.45
"57",2007,"Dallas",12273.98
"58",2007,"Dawson",10827.35
"59",2007,"DeWitt",10966.02
"60",2007,"Deaf Smith",9323.99
"61",2007,"Delta",10615.71
"62",2007,"Denton",10811.43
"63",2007,"Dickens",11998.51
"64",2007,"Dimmit",12613.28
"65",2007,"Donley",10647
"66",2007,"Duval",14394.05
"67",2007,"Eastland",11044.7
"68",2007,"Ector",10184.51
"69",2007,"Edwards",7301.15
"70",2007,"El Paso",9694.14
"71",2007,"Ellis",10804.65
"72",2007,"Erath",9483.53
"73",2007,"Falls",10916.76
"74",2007,"Fannin",12340.03
"75",2007,"Fayette",10390.58
"76",2007,"Fisher",10236.94
"77",2007,"Floyd",11580.18
"78",2007,"Foard",15111.44
"79",2007,"Fort Bend",11421.73
"80",2007,"Franklin",10035.13
"81",2007,"Freestone",10204.99
"82",2007,"Frio",11049.09
"83",2007,"Gaines",11233.45
"84",2007,"Galveston",13543.86
"85",2007,"Garza",10778.31
"86",2007,"Gillespie",8323.57
"87",2007,"Glasscock",10646.38
"88",2007,"Goliad",11085.98
"89",2007,"Gonzales",10517.28
"90",2007,"Gray",10956.11
"91",2007,"Grayson",12171.39
"92",2007,"Gregg",10857.79
"93",2007,"Grimes",10810.67
"94",2007,"Guadalupe",9799.45
"95",2007,"Hale",10911.26
"96",2007,"Hall",9197.65
"97",2007,"Hamilton",8928.32
"98",2007,"Hansford",10588.11
"99",2007,"Hardeman",11944.31
"100",2007,"Hardin",10940.92
"101",2007,"Harris",12690.02
"102",2007,"Harrison",10043.17
"103",2007,"Hartley",13957.95
"104",2007,"Haskell",11471.51
"105",2007,"Hays",10106.15
"106",2007,"Hemphill",7100.35
"107",2007,"Henderson",10473.94
"108",2007,"Hidalgo",12198.14
"109",2007,"Hill",9772.17
"110",2007,"Hockley",10890.66
"111",2007,"Hood",10306.48
"112",2007,"Hopkins",11248.04
"113",2007,"Houston",10362.94
"114",2007,"Howard",10467.25
"115",2007,"Hudspeth",7308.53
"116",2007,"Hunt",12286.87
"117",2007,"Hutchinson",10122.15
"118",2007,"Irion",9001.8
"119",2007,"Jack",10617.32
"120",2007,"Jackson",12717.8
"121",2007,"Jasper",11105.59
"122",2007,"Jeff Davis",6592.39
"123",2007,"Jefferson",11895.74
"124",2007,"Jim Hogg",15626.04
"125",2007,"Jim Wells",13858.89
"126",2007,"Johnson",11302.66
"127",2007,"Jones",10878.06
"128",2007,"Karnes",12403.29
"129",2007,"Kaufman",11471.2
"130",2007,"Kendall",8880.11
"131",2007,"Kenedy",17960.55
"132",2007,"Kent",11767.69
"133",2007,"Kerr",8963.19
"134",2007,"Kimble",10987.77
"135",2007,"King",13118.59
"136",2007,"Kinney",8771.89
"137",2007,"Kleberg",12390.3
"138",2007,"Knox",11993.77
"139",2007,"La Salle",10352.01
"140",2007,"Lamar",10991
"141",2007,"Lamb",9089.78
"142",2007,"Lampasas",12856.87
"143",2007,"Lavaca",12121.48
"144",2007,"Lee",11359.67
"145",2007,"Leon",9780.88
"146",2007,"Liberty",13625.66
"147",2007,"Limestone",10824.06
"148",2007,"Lipscomb",8970.76
"149",2007,"Live Oak",10509.61
"150",2007,"Llano",9967.39
"151",2007,"Loving",8035.79
"152",2007,"Lubbock",11087.51
"153",2007,"Lynn",14668.67
"154",2007,"Madison",11916.12
"155",2007,"Marion",10916.6
"156",2007,"Martin",13097.68
"157",2007,"Mason",7998
"158",2007,"Matagorda",12234.74
"159",2007,"Maverick",12457.33
"160",2007,"McCulloch",10841.11
"161",2007,"McLennan",9799.74
"162",2007,"McMullen",10167.67
"163",2007,"Medina",9884.07
"164",2007,"Menard",9624.13
"165",2007,"Midland",9190.77
"166",2007,"Milam",11279.55
"167",2007,"Mills",9025.35
"168",2007,"Mitchell",12563.77
